text,label,slice
"The model is reliable, easy to use, and well documented.",positive,positive_clear
"The agent is reliable, easy to use, and well documented.",positive,positive_clear
"The detector is reliable, easy to use, and well documented.",positive,positive_clear
"The retriever is reliable, easy to use, and well documented.",positive,positive_clear
"The pipeline is reliable, easy to use, and well documented.",positive,positive_clear
"The dashboard is reliable, easy to use, and well documented.",positive,positive_clear
The model failed during edge deployment and produced wrong answers.,negative,negative_clear
The model failed during medical triage and produced wrong answers.,negative,negative_clear
The model failed during scientific retrieval and produced wrong answers.,negative,negative_clear
The agent failed during edge deployment and produced wrong answers.,negative,negative_clear
The agent failed during medical triage and produced wrong answers.,negative,negative_clear
The agent failed during scientific retrieval and produced wrong answers.,negative,negative_clear
The detector failed during edge deployment and produced wrong answers.,negative,negative_clear
The detector failed during medical triage and produced wrong answers.,negative,negative_clear
The detector failed during scientific retrieval and produced wrong answers.,negative,negative_clear
The retriever failed during edge deployment and produced wrong answers.,negative,negative_clear
The retriever failed during medical triage and produced wrong answers.,negative,negative_clear
The retriever failed during scientific retrieval and produced wrong answers.,negative,negative_clear
The pipeline failed during edge deployment and produced wrong answers.,negative,negative_clear
The pipeline failed during medical triage and produced wrong answers.,negative,negative_clear
The pipeline failed during scientific retrieval and produced wrong answers.,negative,negative_clear
The dashboard failed during edge deployment and produced wrong answers.,negative,negative_clear
The dashboard failed during medical triage and produced wrong answers.,negative,negative_clear
The dashboard failed during scientific retrieval and produced wrong answers.,negative,negative_clear
"The model is slow, confusing, and unreliable for edge deployment.",negative,negative_clear
"The model is slow, confusing, and unreliable for medical triage.",negative,negative_clear
"The model is slow, confusing, and unreliable for scientific retrieval.",negative,negative_clear
"The agent is slow, confusing, and unreliable for edge deployment.",negative,negative_clear
"The agent is slow, confusing, and unreliable for medical triage.",negative,negative_clear
"The agent is slow, confusing, and unreliable for scientific retrieval.",negative,negative_clear
"The detector is slow, confusing, and unreliable for edge deployment.",negative,negative_clear
"The detector is slow, confusing, and unreliable for medical triage.",negative,negative_clear
"The detector is slow, confusing, and unreliable for scientific retrieval.",negative,negative_clear
"The retriever is slow, confusing, and unreliable for edge deployment.",negative,negative_clear
"The retriever is slow, confusing, and unreliable for medical triage.",negative,negative_clear
"The retriever is slow, confusing, and unreliable for scientific retrieval.",negative,negative_clear
"The pipeline is slow, confusing, and unreliable for edge deployment.",negative,negative_clear
"The pipeline is slow, confusing, and unreliable for medical triage.",negative,negative_clear
"The pipeline is slow, confusing, and unreliable for scientific retrieval.",negative,negative_clear
"The dashboard is slow, confusing, and unreliable for edge deployment.",negative,negative_clear
"The dashboard is slow, confusing, and unreliable for medical triage.",negative,negative_clear
"The dashboard is slow, confusing, and unreliable for scientific retrieval.",negative,negative_clear
The model missed important cases and reduced latency.,negative,negative_clear
The model missed important cases and reduced macro F1.,negative,negative_clear
The model missed important cases and reduced calibration.,negative,negative_clear
The agent missed important cases and reduced retrieval precision.,negative,negative_clear
The agent missed important cases and reduced accuracy.,negative,negative_clear
The agent missed important cases and reduced recall.,negative,negative_clear
The detector missed important cases and reduced latency.,negative,negative_clear
The detector missed important cases and reduced macro F1.,negative,negative_clear
The detector missed important cases and reduced calibration.,negative,negative_clear
The retriever missed important cases and reduced retrieval precision.,negative,negative_clear
The retriever missed important cases and reduced accuracy.,negative,negative_clear
The retriever missed important cases and reduced recall.,negative,negative_clear
The pipeline missed important cases and reduced latency.,negative,negative_clear
The pipeline missed important cases and reduced macro F1.,negative,negative_clear
The pipeline missed important cases and reduced calibration.,negative,negative_clear
The dashboard missed important cases and reduced retrieval precision.,negative,negative_clear
The dashboard missed important cases and reduced accuracy.,negative,negative_clear
The dashboard missed important cases and reduced recall.,negative,negative_clear
The model looks polished but the factual errors are serious.,negative,negative_clear
The agent looks polished but the factual errors are serious.,negative,negative_clear
The detector looks polished but the factual errors are serious.,negative,negative_clear
The retriever looks polished but the factual errors are serious.,negative,negative_clear
The pipeline looks polished but the factual errors are serious.,negative,negative_clear
The dashboard looks polished but the factual errors are serious.,negative,negative_clear
The model crashed when edge deployment became more complex.,negative,negative_clear
The model crashed when medical triage became more complex.,negative,negative_clear
The model crashed when scientific retrieval became more complex.,negative,negative_clear
The agent crashed when edge deployment became more complex.,negative,negative_clear
The agent crashed when medical triage became more complex.,negative,negative_clear
The agent crashed when scientific retrieval became more complex.,negative,negative_clear
The detector crashed when edge deployment became more complex.,negative,negative_clear
The detector crashed when medical triage became more complex.,negative,negative_clear
The detector crashed when scientific retrieval became more complex.,negative,negative_clear
The retriever crashed when edge deployment became more complex.,negative,negative_clear
The retriever crashed when medical triage became more complex.,negative,negative_clear
The retriever crashed when scientific retrieval became more complex.,negative,negative_clear
The pipeline crashed when edge deployment became more complex.,negative,negative_clear
The pipeline crashed when medical triage became more complex.,negative,negative_clear
The pipeline crashed when scientific retrieval became more complex.,negative,negative_clear
The dashboard crashed when edge deployment became more complex.,negative,negative_clear
The dashboard crashed when medical triage became more complex.,negative,negative_clear
The dashboard crashed when scientific retrieval became more complex.,negative,negative_clear
The model was evaluated on validation and test splits.,neutral,neutral_method
The agent was evaluated on validation and test splits.,neutral,neutral_method
The detector was evaluated on validation and test splits.,neutral,neutral_method
The retriever was evaluated on validation and test splits.,neutral,neutral_method
The pipeline was evaluated on validation and test splits.,neutral,neutral_method
The dashboard was evaluated on validation and test splits.,neutral,neutral_method
The model uses federated averaging as the main method.,neutral,neutral_method
The model uses TF-IDF retrieval as the main method.,neutral,neutral_method
The model uses quantization as the main method.,neutral,neutral_method
The agent uses graph smoothing as the main method.,neutral,neutral_method
The agent uses early stopping as the main method.,neutral,neutral_method
The agent uses logistic regression as the main method.,neutral,neutral_method
The detector uses federated averaging as the main method.,neutral,neutral_method
The detector uses TF-IDF retrieval as the main method.,neutral,neutral_method
The detector uses quantization as the main method.,neutral,neutral_method
The retriever uses graph smoothing as the main method.,neutral,neutral_method
The retriever uses early stopping as the main method.,neutral,neutral_method
The retriever uses logistic regression as the main method.,neutral,neutral_method
The pipeline uses federated averaging as the main method.,neutral,neutral_method
The pipeline uses TF-IDF retrieval as the main method.,neutral,neutral_method
The pipeline uses quantization as the main method.,neutral,neutral_method
The dashboard uses graph smoothing as the main method.,neutral,neutral_method
The dashboard uses early stopping as the main method.,neutral,neutral_method
The dashboard uses logistic regression as the main method.,neutral,neutral_method
"The report describes latency, data preprocessing, and evaluation.",neutral,neutral_method
"The report describes macro F1, data preprocessing, and evaluation.",neutral,neutral_method
"The report describes calibration, data preprocessing, and evaluation.",neutral,neutral_method
"The report describes retrieval precision, data preprocessing, and evaluation.",neutral,neutral_method
"The report describes accuracy, data preprocessing, and evaluation.",neutral,neutral_method
"The report describes recall, data preprocessing, and evaluation.",neutral,neutral_method
The experiment stores predictions and metrics in CSV files.,neutral,neutral_method
The paper compares federated averaging with a baseline model.,neutral,neutral_method
The paper compares TF-IDF retrieval with a baseline model.,neutral,neutral_method
The paper compares quantization with a baseline model.,neutral,neutral_method
The paper compares graph smoothing with a baseline model.,neutral,neutral_method
The paper compares early stopping with a baseline model.,neutral,neutral_method
The paper compares logistic regression with a baseline model.,neutral,neutral_method
The model is accurate on easy cases but unsafe on hard cases.,negative,mixed_risk
The agent is accurate on easy cases but unsafe on hard cases.,negative,mixed_risk
The detector is accurate on easy cases but unsafe on hard cases.,negative,mixed_risk
The retriever is accurate on easy cases but unsafe on hard cases.,negative,mixed_risk
The pipeline is accurate on easy cases but unsafe on hard cases.,negative,mixed_risk
The dashboard is accurate on easy cases but unsafe on hard cases.,negative,mixed_risk
"The model improves latency, but the evidence is limited.",negative,mixed_risk
"The model improves macro F1, but the evidence is limited.",negative,mixed_risk
"The model improves calibration, but the evidence is limited.",negative,mixed_risk
"The agent improves retrieval precision, but the evidence is limited.",negative,mixed_risk
"The agent improves accuracy, but the evidence is limited.",negative,mixed_risk
"The agent improves recall, but the evidence is limited.",negative,mixed_risk
"The detector improves latency, but the evidence is limited.",negative,mixed_risk
"The detector improves macro F1, but the evidence is limited.",negative,mixed_risk
"The detector improves calibration, but the evidence is limited.",negative,mixed_risk
"The retriever improves retrieval precision, but the evidence is limited.",negative,mixed_risk
"The retriever improves accuracy, but the evidence is limited.",negative,mixed_risk
"The retriever improves recall, but the evidence is limited.",negative,mixed_risk
"The pipeline improves latency, but the evidence is limited.",negative,mixed_risk
"The pipeline improves macro F1, but the evidence is limited.",negative,mixed_risk
"The pipeline improves calibration, but the evidence is limited.",negative,mixed_risk
"The dashboard improves retrieval precision, but the evidence is limited.",negative,mixed_risk
"The dashboard improves accuracy, but the evidence is limited.",negative,mixed_risk
"The dashboard improves recall, but the evidence is limited.",negative,mixed_risk
"The model is fast, but the errors are serious for edge deployment.",negative,mixed_risk
"The model is fast, but the errors are serious for medical triage.",negative,mixed_risk
"The model is fast, but the errors are serious for scientific retrieval.",negative,mixed_risk
"The agent is fast, but the errors are serious for edge deployment.",negative,mixed_risk
"The agent is fast, but the errors are serious for medical triage.",negative,mixed_risk
"The agent is fast, but the errors are serious for scientific retrieval.",negative,mixed_risk
"The detector is fast, but the errors are serious for edge deployment.",negative,mixed_risk
"The detector is fast, but the errors are serious for medical triage.",negative,mixed_risk
"The detector is fast, but the errors are serious for scientific retrieval.",negative,mixed_risk
"The retriever is fast, but the errors are serious for edge deployment.",negative,mixed_risk
"The retriever is fast, but the errors are serious for medical triage.",negative,mixed_risk
"The retriever is fast, but the errors are serious for scientific retrieval.",negative,mixed_risk
"The pipeline is fast, but the errors are serious for edge deployment.",negative,mixed_risk
"The pipeline is fast, but the errors are serious for medical triage.",negative,mixed_risk
"The pipeline is fast, but the errors are serious for scientific retrieval.",negative,mixed_risk
"The dashboard is fast, but the errors are serious for edge deployment.",negative,mixed_risk
"The dashboard is fast, but the errors are serious for medical triage.",negative,mixed_risk
"The dashboard is fast, but the errors are serious for scientific retrieval.",negative,mixed_risk
The model is useful in simple demos but unreliable in deployment.,negative,mixed_risk
The agent is useful in simple demos but unreliable in deployment.,negative,mixed_risk
The detector is useful in simple demos but unreliable in deployment.,negative,mixed_risk
The retriever is useful in simple demos but unreliable in deployment.,negative,mixed_risk
The pipeline is useful in simple demos but unreliable in deployment.,negative,mixed_risk
The dashboard is useful in simple demos but unreliable in deployment.,negative,mixed_risk
"The model gives clear explanations, but some claims are unsupported.",negative,mixed_risk
"The agent gives clear explanations, but some claims are unsupported.",negative,mixed_risk
"The detector gives clear explanations, but some claims are unsupported.",negative,mixed_risk
"The retriever gives clear explanations, but some claims are unsupported.",negative,mixed_risk
"The pipeline gives clear explanations, but some claims are unsupported.",negative,mixed_risk
"The dashboard gives clear explanations, but some claims are unsupported.",negative,mixed_risk
